label,eval_calls,doc_write_calls,settimeout_string_calls,function_constructor_calls,iframe_creations,form_creations,dynamic_script_injections,network_js_xhr_open_calls,network_js_fetch_calls,network_js_ws_constructor_calls,cdp_network_requests_total,cdp_network_requests_document,cdp_network_requests_script,cdp_network_requests_fetch,cdp_network_requests_other,cdp_websocket_connections_created,time_to_first_dom_modification_ms,total_script_duration_ms,total_task_duration_ms,analysis_duration_s
0,0,0,0,1,0,0,0,0,0,0,13,1,3,2,7,0,223.59999999403954,0.0,0.0,3.466313362121582
0,0,0,0,1,0,0,0,0,0,0,71,1,41,0,29,0,1495.199999988079,0.0,0.0,4.1282360553741455
0,9,0,0,1,1,0,1,2,0,0,11,3,4,0,4,0,190.40499997138977,0.0,0.0,4.02971625328064
0,0,0,0,1,1,0,2,6,1,0,32,2,14,1,15,0,828.0999999642372,0.0,0.0,4.862278699874878
0,0,0,0,1,0,0,0,0,0,0,227,8,72,43,104,0,223.59999999403954,0.0,0.0,3.701113700866699
0,0,0,0,1,0,0,0,0,0,0,229,14,36,20,159,0,223.59999999403954,0.0,0.0,3.3437888622283936
0,9,0,0,1,1,0,1,1,0,0,238,7,80,11,140,0,40.99500000476837,0.0,0.0,3.646117687225342
0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,4,0,223.59999999403954,0.0,0.0,6.541035175323486
0,33,0,0,1,7,0,52,12,24,0,176,5,59,25,87,0,472.6999999880791,287.25600000000003,735.195,32.810715675354004
0,0,0,0,1,1,0,1,0,0,0,153,2,129,0,22,0,311.5999999642372,0.0,0.0,4.300015687942505
0,0,0,0,1,4,0,51,4,16,0,274,5,58,16,195,0,509.7999999523163,0.0,0.0,5.630843162536621
0,0,0,0,1,0,0,5,1,1,0,14,1,4,1,8,0,292.30000001192093,0.0,0.0,4.014298439025879
0,5,0,0,2,16,1,74,12,21,0,163,13,64,28,58,0,300.19999998807907,0.0,0.0,3.617392063140869
0,0,0,0,1,0,0,0,0,0,0,9,1,1,0,7,0,223.59999999403954,0.0,0.0,4.386725187301636
0,0,0,0,1,0,0,6,7,4,0,45,1,8,5,31,0,299.30000001192093,0.0,0.0,3.9160852432250977
0,1,0,0,3,5,0,33,8,5,0,148,4,48,5,91,0,548.3999999761581,0.0,0.0,6.070065975189209
0,0,0,0,1,0,0,6,7,4,0,39,1,8,4,26,0,395.60000002384186,170.52,314.893,31.198320627212524
0,42,0,0,2,13,1,22,7,10,1,102,2,39,11,50,1,1202.300000011921,597.025,1583.515,33.45119285583496
0,0,0,0,1,0,0,1,1,0,0,29,3,14,0,12,0,878.1999999880791,0.0,0.0,3.265702724456787
0,1,0,0,1,3,0,16,5,0,0,95,2,21,0,72,0,188.69999998807907,0.0,0.0,7.166583299636841
